,Approval_Date,Loan,Valuation,Country,Origin,Joint,App1_Age,App2_Age,App1_G,App2_G,App1_Income,App2_Income,Property_Type,Area,Property_Age,Advance_Date
0,04/08/2023,195000,254200,0,0,0,26,,1,,20772,,3,1,10,
1,20/06/2023,116000,190500,0,1,0,44,,1,,20000,,2,0,97,08/07/2023
2,23/10/2021,74000,95100,1,1,0,47,,1,,20000,,2,1,,
3,20/07/2022,124000,232800,0,1,1,30,61,1,0,21048,6902,2,1,55,23/07/2022
4,08/08/2024,120000,203400,0,2,1,65,52,1,0,5239,14761,1,,18,
5,24/04/2024,587000,1389200,,1,0,45,,1,,126365,,2,1,227,
6,30/03/2023,21000,35500,0,1,1,51,41,1,0,8034,11966,2,0,57,
7,26/08/2023,114000,264200,0,1,1,26,36,1,0,9141,10859,3,1,62,24/09/2023
8,21/08/2024,123000,210700,0,1,0,38,,1,,20000,,1,,,
9,16/02/2022,79000,126900,0,1,0,27,,0,,20000,,2,,73,
10,23/08/2022,204000,370900,0,1,0,23,,1,,38340,,2,,232,22/09/2022
11,05/09/2022,84000,162600,0,2,1,47,23,1,0,6372,13628,2,0,80,
12,20/05/2022,124000,199700,0,1,0,47,,1,,20000,,0,2,187,
13,04/03/2022,82000,143700,0,1,1,57,60,0,1,12932,7068,2,0,205,
14,08/02/2024,95000,266800,3,1,1,33,32,0,1,14552,21557,3,1,16,22/02/2024
15,31/05/2024,70000,91200,0,1,0,61,,0,,20000,,2,1,,
16,17/07/2022,341000,464500,0,2,0,55,,0,,52208,,2,,82,
17,25/04/2024,156000,187500,0,2,0,22,,0,,20000,,3,1,247,
18,08/12/2022,66000,198400,0,2,0,48,,1,,20000,,0,0,228,
19,21/02/2024,181000,243700,0,0,0,38,,1,,20000,,3,0,88,
20,01/09/2022,291000,409500,0,1,0,42,,1,,37696,,3,0,17,06/10/2022
21,24/02/2022,27000,37700,0,1,0,55,,1,,20000,,2,0,3,19/03/2022
22,15/08/2022,187000,262800,0,1,0,51,,1,,20000,,2,0,86,26/09/2022
23,22/05/2022,155000,256200,0,2,0,44,,0,,25292,,2,,82,
24,13/08/2022,121000,211200,0,2,1,71,42,1,0,7734,12266,1,0,165,
25,26/04/2022,116000,243800,0,1,0,63,,0,,20982,,2,,63,25/04/2022
26,11/04/2023,57000,111600,0,1,0,44,,0,,20000,,3,0,,
27,02/10/2022,120000,154500,2,1,0,44,,0,,20000,,2,1,7,20/10/2022
28,22/06/2022,124000,199500,1,2,0,41,,1,,20143,,2,0,49,
29,15/04/2023,133000,207300,0,1,0,58,,0,,20000,,1,0,74,
30,21/12/2022,132000,214400,0,1,0,62,,1,,20000,,1,0,80,07/01/2023
31,10/09/2023,195000,305300,0,1,0,53,,0,,31713,,2,0,13,
32,12/03/2023,169000,208500,0,2,0,33,,0,,23497,,1,,90,
33,12/09/2021,100000,166400,0,,1,61,48,1,0,9089,10911,2,,59,19/09/2021
34,09/05/2022,131000,179100,2,1,0,51,,0,,27912,,2,,251,
35,09/01/2024,104000,145500,0,1,0,60,,1,,20000,,2,0,39,
36,03/09/2023,172000,203000,0,,1,20,28,0,1,5542,16345,2,0,74,
37,15/11/2023,138000,206900,0,1,0,18,,0,,20000,,1,0,47,
38,06/08/2024,152000,207900,0,1,1,41,47,1,0,12838,7162,1,0,7,
39,04/04/2023,99000,204500,0,0,0,70,,0,,20000,,1,2,73,
40,08/02/2022,253000,728000,0,1,1,18,39,0,1,35793,33763,3,0,,
41,22/05/2024,217000,327500,0,1,0,32,,0,,28484,,3,2,11,
42,26/02/2024,59000,101400,2,1,1,22,31,0,1,6426,13574,2,0,29,12/03/2024
43,13/04/2023,229000,383100,0,,0,44,,1,,29860,,2,0,35,
44,28/03/2023,96000,206400,0,1,0,45,,0,,20000,,,0,13,24/03/2023
45,16/06/2024,152000,216400,0,1,0,18,,1,,20000,,2,0,103,27/07/2024
46,13/10/2023,202000,291700,0,2,0,33,,1,,20000,,2,0,53,
47,30/06/2023,260000,493600,0,2,0,75,,1,,58239,,3,0,56,19/07/2023
48,14/04/2023,41000,69300,2,0,0,44,,1,,20000,,2,0,84,11/05/2023
49,28/04/2022,38000,76800,0,2,0,20,,0,,20000,,,0,83,06/05/2022
50,05/05/2022,141000,185900,0,1,0,58,,1,,24505,,3,0,,10/06/2022
